CYZ-央视,#genre#
CCTV1,http://39.135.33.12/PLTV/77777777/224/3221226963/index.m3u8
CCTV2,http://39.135.33.12/PLTV/77777777/224/3221226599/index.m3u8
CCTV3,http://39.135.33.12/PLTV/77777777/224/3221226971/index.m3u8
CCTV4,http://39.135.33.12/PLTV/77777777/224/3221226990/index.m3u8
CCTV5+,http://39.135.33.12/PLTV/77777777/224/3221226980/index.m3u8
CCTV5,http://39.135.33.12/PLTV/77777777/224/3221226975/index.m3u8
CCTV6,http://39.135.33.12/PLTV/77777777/224/3221226992/index.m3u8
CCTV7,http://39.135.33.12/PLTV/77777777/224/3221226989/index.m3u8
CCTV8,http://39.135.33.12/PLTV/77777777/224/3221226987/index.m3u8
CCTV9,http://39.135.33.12/PLTV/77777777/224/3221226996/index.m3u8
CCTV10,http://39.135.33.12/PLTV/77777777/224/3221226982/index.m3u8
CCTV11,http://39.135.33.12/PLTV/77777777/224/3221226965/index.m3u8
CCTV12,http://39.135.33.12/PLTV/77777777/224/3221226984/index.m3u8
CCTV13,http://39.135.33.12/PLTV/77777777/224/3221226819/index.m3u8
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://39.135.33.12/PLTV/77777777/224/3221226986/index.m3u8
CCTV16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV17,http://39.135.33.12/PLTV/77777777/224/3221226969/index.m3u8
CCTV高尔夫网球,http://39.135.33.12/PLTV/77777777/224/3221226882/index.m3u8
CETV1,http://39.135.33.12/PLTV/77777777/224/3221226592/index.m3u8
CYZ-卫视,#genre#
安徽卫视HD 8M,http://39.135.33.12/PLTV/77777777/224/3221226673/index.m3u8
安徽卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226587/index.m3u8
北京冬奥纪实HD 8M,http://39.135.33.12/PLTV/77777777/224/3221226668/index.m3u8
北京卡酷少儿,http://39.135.33.12/PLTV/77777777/224/3221226629/index.m3u8
北京卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226544/index.m3u8
兵团卫视,http://39.135.33.12/PLTV/77777777/224/3221226854/index.m3u8
东方卫视HD 8M,http://39.135.33.12/PLTV/77777777/224/3221226652/index.m3u8
东方卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226554/index.m3u8
东南卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226588/index.m3u8
甘肃卫视,http://39.135.33.12/PLTV/77777777/224/3221226590/index.m3u8
广东卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226654/index.m3u8
广西卫视,http://39.135.33.12/PLTV/77777777/224/3221226641/index.m3u8
贵州卫视,http://39.135.33.12/PLTV/77777777/224/3221226731/index.m3u8
哈哈炫动,http://39.135.33.12/PLTV/77777777/224/3221226659/index.m3u8
海南卫视,http://39.135.33.12/PLTV/77777777/224/3221226633/index.m3u8
河北卫视,http://39.135.33.12/PLTV/77777777/224/3221226645/index.m3u8
河池教育,http://39.135.33.12/PLTV/77777777/224/3221226822/index.m3u8
河南卫视,http://39.135.33.12/PLTV/77777777/224/3221226800/index.m3u8
贺州综合,http://39.135.33.12/PLTV/77777777/224/3221226826/index.m3u8
黑龙江卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226656/index.m3u8
湖北卫视HD 8M,http://39.135.33.12/PLTV/77777777/224/3221226723/index.m3u8
湖北卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226615/index.m3u8
湖南卫视HD 8M,http://39.135.33.12/PLTV/77777777/224/3221226725/index.m3u8
湖南卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226605/index.m3u8
吉林卫视,http://39.135.33.12/PLTV/77777777/224/3221226566/index.m3u8
纪实人文HD 8M,http://39.135.33.12/PLTV/77777777/224/3221226727/index.m3u8
江苏卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226558/index.m3u8
江苏卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226658/index.m3u8
江西卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226607/index.m3u8
金鹰纪实,http://39.135.33.12/PLTV/77777777/224/3221226647/index.m3u8
金鹰卡通,http://39.135.33.12/PLTV/77777777/224/3221226649/index.m3u8
辽宁卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226660/index.m3u8
咪咕视频4K,http://39.135.33.12/PLTV/77777777/224/3221226852/index.m3u8
南方卫视,http://39.135.33.12/PLTV/77777777/224/3221226596/index.m3u8
青海卫视,http://39.135.33.12/PLTV/77777777/224/3221226653/index.m3u8
山东教育卫视,http://39.135.33.12/PLTV/77777777/224/3221226600/index.m3u8
山西卫视,http://39.135.33.12/PLTV/77777777/224/3221226655/index.m3u8
深圳卫视HD 8M,http://39.135.33.12/PLTV/77777777/224/3221226664/index.m3u8
深圳卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226611/index.m3u8
天津卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226613/index.m3u8
西藏卫视,http://39.135.33.12/PLTV/77777777/224/3221226720/index.m3u8
新疆卫视,http://39.135.33.12/PLTV/77777777/224/3221226657/index.m3u8
优漫卡通,http://39.135.33.12/PLTV/77777777/224/3221226661/index.m3u8
云南卫视,http://39.135.33.12/PLTV/77777777/224/3221226606/index.m3u8
浙江卫视HD 8M,http://39.135.33.12/PLTV/77777777/224/3221226729/index.m3u8
浙江卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226562/index.m3u8
重庆卫视HD,http://39.135.33.12/PLTV/77777777/224/3221226586/index.m3u8
CYZ-NEWTV,#genre#
黑莓电竞,http://39.135.33.12/PLTV/77777777/224/3221226663/index.m3u8
黑莓电影,http://39.135.33.12/PLTV/77777777/224/3221226619/index.m3u8
黑莓动画,http://39.135.33.12/PLTV/77777777/224/3221226538/index.m3u8
NewTV爱情喜剧,http://39.135.33.12/PLTV/77777777/224/3221226532/index.m3u8
NewTV潮妈辣婆,http://39.135.33.12/PLTV/77777777/224/3221226542/index.m3u8
NewTV动作电影,http://39.135.33.12/PLTV/77777777/224/3221226540/index.m3u8
NewTV古装剧场,http://39.135.33.12/PLTV/77777777/224/3221226595/index.m3u8
NewTV家庭剧场,http://39.135.33.12/PLTV/77777777/224/3221226621/index.m3u8
NewTV金牌综艺,http://39.135.33.12/PLTV/77777777/224/3221226574/index.m3u8
NewTV惊悚悬疑,http://39.135.33.12/PLTV/77777777/224/3221226568/index.m3u8
NewTV精品大剧,http://39.135.33.12/PLTV/77777777/224/3221226617/index.m3u8
NewTV精品记录,http://39.135.33.12/PLTV/77777777/224/3221226623/index.m3u8
NewTV精品体育,http://39.135.33.12/PLTV/77777777/224/3221226625/index.m3u8
NewTV军事评论,http://39.135.33.12/PLTV/77777777/224/3221226627/index.m3u8
咪咕视频,http://39.135.33.12/PLTV/77777777/224/3221226808/index.m3u8
